copy	genus	GCF
1	Pseudomonas fragi	6
1	Pseudomonas frederiksbergensis	3
1	Pseudomonas fulva	4
1	Pseudomonas granadensis	2
1	Pseudomonas juntendi	2
1	Pseudomonas knackmussii	2
1	Pseudomonas koreensis	3
1	Pseudomonas kribbensis	2
1	Pseudomonas lalkuanensis	2
1	Pseudomonas libanensis	2
1	Pseudomonas lundensis	4
1	Pseudomonas lurida	2
1	Pseudomonas mandelii	3
1	Pseudomonas mediterranea	2
1	Pseudomonas mendocina	7
1	Pseudomonas monteilii	9
1	Pseudomonas moraviensis	2
1	Pseudomonas mosselii	3
1	Pseudomonas mucidolens	2
1	Pseudomonas ogarae	2
1	Pseudomonas orientalis	6
1	Pseudomonas oryzihabitans	3
1	Pseudomonas otitidis	3
1	Pseudomonas parafulva	3
1	Pseudomonas plecoglossicida	3
1	Pseudomonas poae	3
1	Pseudomonas protegens	23
1	Pseudomonas psychrophila	2
1	Pseudomonas psychrotolerans	3
1	Pseudomonas putida	47
1	Pseudomonas rhodesiae	4
1	Pseudomonas savastanoi	5
1	Pseudomonas sessilinigenes	2
1	Pseudomonas simiae	4
1	Pseudomonas stutzeri	30
1	Pseudomonas synxantha	11
1	Pseudomonas syringae	40
1	Pseudomonas taetrolens	2
1	Pseudomonas thivervalensis	3
1	Pseudomonas tolaasii	2
1	Pseudomonas trivialis	2
1	Pseudomonas umsongensis	3
1	Pseudomonas veronii	4
1	Pseudomonas viridiflava	7
1	Pseudomonas yamanorum	3
1	Rahnella aquatilis	1
1	Rahnella inusitata	1
1	Rahnella victoriana	1
1	Raoultella electrica	1
1	Raoultella terrigena	1
1	Rouxiella badensis	1
1	Salinivibrio kushneri	1
1	Salmonella bongori	1
1	Salmonella enterica	1
1	Scandinavium goeteborgense	1
1	Serratia ficaria	1
1	Serratia fonticola	1
1	Serratia grimesii	1
1	Serratia inhibens	1
1	Serratia liquefaciens	1
1	Serratia plymuthica	1
1	Serratia rhizosphaerae	1
1	Serratia rubidaea	1
1	Serratia symbiotica	1
1	Shewanella marisflavi	2
1	Shewanella algae	1
1	Shewanella baltica	11
1	Shewanella cyperi	2
1	Shewanella decolorationis	2
1	Shewanella oneidensis	2
1	Shewanella putrefaciens	9
1	Shewanella xiamenensis	2
1	Shigella flexneri	1
1	Shigella sonnei	1
1	Shimwellia blattae	1
1	Sodalis praecaptivus	1
1	Tatlockia micdadei	1
1	Tatumella citrea	1
1	Thaumasiovibrio subtropicus	1
1	Thiopseudomonas alkaliphila	7
1	Tolumonas auensis	1
1	Vespertiliibacter pulmonis	1
1	Vibrio algicola	1
1	Vibrio anguillarum	1
1	Vibrio aphrogenes	1
1	Vibrio aquimaris	1
1	Vibrio astriarenae	1
1	Vibrio atlanticus	1
1	Vibrio azureus	1
1	Vibrio bathopelagicus	1
1	Vibrio cholerae	1
1	Vibrio coralliilyticus	1
1	Vibrio cyclitrophicus	1
1	Vibrio gazogenes	1
1	Vibrio kanaloae	1
1	Vibrio metschnikovii	1
1	Vibrio navarrensis	1
1	Vibrio penaeicida	1
1	Vibrio qinghaiensis	1
1	Vibrio rumoiensis	1
1	Vibrio spartinae	1
1	Vibrio tritonius	1
1	Vibrio tubiashii	1
1	Vibrio vulnificus	1
1	Vibrio zhugei	1
1	Vibrio ziniensis	1
1	Xenorhabdus bovienii	1
1	Xenorhabdus doucetiae	1
1	Xenorhabdus hominickii	1
1	Xenorhabdus nematophila	1
1	Xenorhabdus poinarii	1
1	Yersinia aldovae	1
1	Yersinia canariae	1
1	Yersinia entomophaga	1
1	Yersinia hibernica	1
1	Yersinia intermedia	1
1	Yersinia mollaretii	1
1	Yersinia pestis	1
1	Yersinia pseudotuberculosis	1
1	Yersinia rochesterensis	1
1	Yersinia rohdei	1
1	Yersinia ruckeri	1
1	Yersinia similis	1
1	Zobellella denitrificans	1
1	Zophobihabitans entericus	1
2	Aeromonas allosaccharophila	1
2	Aeromonas dhakensis	1
2	Aeromonas jandaei	1
2	Aeromonas simiae	1
2	Aeromonas veronii	1
2	Aggregatibacter aphrophilus	1
2	Aggregatibacter segnis	1
2	Avibacterium paragallinarum	1
2	Avibacterium volantium	1
2	Bacillus subtilis	1
2	Dongshaea marina	1
2	Edwardsiella anguillarum	1
2	Edwardsiella hoshinae	1
2	Edwardsiella ictaluri	1
2	Edwardsiella tarda	1
2	Haemophilus pittmaniae	1
2	Hafnia alvei	1
2	Jejubacter calystegiae	1
2	Jinshanibacter zhutongyuii	1
2	Leclercia adecarboxylata	1
2	Leminorella richardii	1
2	Limnobaculum parvum	1
2	Morganella morganii	1
2	Pragia fontium	1
2	Proteus hauseri	1
2	Proteus mirabilis	1
2	Proteus terrae	1
2	Providencia alcalifaciens	1
2	Pseudomonas aeruginosa	382
2	Pseudomonas putida	1
2	Rodentibacter haemolyticus	1
2	Rodentibacter heylii	1
2	Serratia marcescens	1
2	Serratia nematodiphila	1
2	Serratia quinivorans	1
2	Serratia surfactantfaciens	1
2	Serratia ureilytica	1
2	Shewanella algae	21
2	Vibrio alfacsensis	1
2	Vibrio antiquarius	1
2	Vibrio campbellii	1
2	Vibrio fluvialis	1
2	Vibrio furnissii	1
2	Vibrio harveyi	1
2	Vibrio jasicida	1
2	Vibrio natriegens	1
2	Vibrio owensii	1
2	Vibrio parahaemolyticus	1
2	Vibrio rotiferianus	1
2	Vibrio tapetis	1
2	Xenorhabdus budapestensis	1
3	Aeromonas hydrophila	1
3	Aliivibrio salmonicida	1
3	Citrobacter braakii	1
3	Hafnia paralvei	1
3	Staphylococcus aureus	1
3	Vibrio ponticus	1
3	Vibrio taketomensis	1
4	Photobacterium damselae	1
4	Photobacterium gaetbulicola	1
4	Photobacterium ganghwense	1
